lon,lat,depth
-127.774193548,49.8650793651,-11873.4677734
-127.741935484,49.8650793651,-12269.9492188
-127.709677419,49.8650793651,-12715.2421875
-127.677419355,49.8650793651,-13183.1162109
-127.64516129,49.8650793651,-13610.9775391
-127.612903226,49.8650793651,-13977.6445312
-127.580645161,49.8650793651,-14281.7285156
-127.548387097,49.8650793651,-14530.5800781
-128.741935484,49.8425925926,-3648.45825195
-128.709677419,49.8425925926,-3824.06469727
-128.677419355,49.8425925926,-4001.54101562
-128.64516129,49.8425925926,-4181.49072266
-128.612903226,49.8425925926,-4364.56982422
-128.580645161,49.8425925926,-4551.45751953
-128.548387097,49.8425925926,-4742.81884766
-128.516129032,49.8425925926,-4939.24023438
-128.483870968,49.8425925926,-5141.14160156
-128.451612903,49.8425925926,-5348.64111328
-128.419354839,49.8425925926,-5561.37402344
-128.387096774,49.8425925926,-5778.27294922
-128.35483871,49.8425925926,-5997.35644531
-128.322580645,49.8425925926,-6215.64453125
-128.290322581,49.8425925926,-6429.43017578
-128.258064516,49.8425925926,-6635.24560547
-128.225806452,49.8425925926,-6831.88720703
-128.193548387,49.8425925926,-7023.60546875
-128.161290323,49.8425925926,-7223.78955078
-128.129032258,49.8425925926,-7457.11914062
-128.096774194,49.8425925926,-7756.26318359
-128.064516129,49.8425925926,-8146.46289062
-128.032258065,49.8425925926,-8614.35839844
-128.0,49.8425925926,-9093.38769531
-127.967741935,49.8425925926,-9522.85546875
-127.935483871,49.8425925926,-9887.16113281
-127.903225806,49.8425925926,-10202.8583984
-127.870967742,49.8425925926,-10497.4355469
-127.838709677,49.8425925926,-10793.3232422
-127.806451613,49.8425925926,-11100.5849609
-127.774193548,49.8425925926,-11429.8662109
-127.741935484,49.8425925926,-11817.09375
-127.709677419,49.8425925926,-12292.2744141
-127.677419355,49.8425925926,-12825.7246094
-127.64516129,49.8425925926,-13280.1806641
-127.612903226,49.8425925926,-13648.7148438
-127.580645161,49.8425925926,-13941.8027344
-127.548387097,49.8425925926,-14174.9140625
-127.516129032,49.8425925926,-14361.8486328
-128.741935484,49.8201058201,-3517.36157227
-128.709677419,49.8201058201,-3680.93725586
-128.677419355,49.8201058201,-3846.42993164
-128.64516129,49.8201058201,-4014.5480957
-128.612903226,49.8201058201,-4186.10058594
-128.580645161,49.8201058201,-4361.98291016
-128.548387097,49.8201058201,-4543.15087891
-128.516129032,49.8201058201,-4730.56689453
-128.483870968,49.8201058201,-4925.11083984
-128.451612903,49.8201058201,-5127.42236328
-128.419354839,49.8201058201,-5337.65234375
-128.387096774,49.8201058201,-5555.10498047
-128.35483871,49.8201058201,-5777.77636719
-128.322580645,49.8201058201,-6001.8984375
-128.290322581,49.8201058201,-6221.76171875
-128.258064516,49.8201058201,-6430.3515625
-128.225806452,49.8201058201,-6621.60058594
-128.193548387,49.8201058201,-6794.95751953
-128.161290323,49.8201058201,-6962.00634766
-128.129032258,49.8201058201,-7153.02734375
-128.096774194,49.8201058201,-7419.0625
-128.064516129,49.8201058201,-7816.18212891
-128.032258065,49.8201058201,-8341.40722656
-128.0,49.8201058201,-8868.27148438
-127.967741935,49.8201058201,-9294.27246094
-127.935483871,49.8201058201,-9616.7265625
-127.903225806,49.8201058201,-9877.9609375
-127.870967742,49.8201058201,-10127.3261719
-127.838709677,49.8201058201,-10398.3193359
