CFM ID,Fault Name,Region,Primary State/Province,Secondary State/Country,Dip (degrees),Dip Direction,Rake* (degrees),Slip sense,Fault level,NSHM sliprates (MedWgtd),QfaultsAgeCat,QfaultsAgeCat,LowDepth (km),UpDepth (km),Reference**,3D Model Constraints,NSHM ID #,Lineage***,Comments
82,Pondosa (proxy),ForearcIntraarc_CA,CA,,50,E,-90,Normal,1,0.55899,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,349,unmodified,
83,Portland Hills (north),ForearcIntraarc_OR,OR,,60,SW,90,Reverse,1,0.113858,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2529,unmodified,
84,Portland Hills (south),ForearcIntraarc_OR,OR,,60,SW,90,Reverse,1,0.104438,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2570,unmodified,
85,Red Bluff,ForearcIntraarc_CA,CA,,60,N,90,Reverse,1,0.62849,null,null,15,0,US NSHM 2023,trace extended at constant dip,334,unmodified,
86,Rocky Ledge,ForearcIntraarc_CA,CA,,60,E,-90,Normal,1,0.150455,latest Quaternary,"<15,000",9,0,US NSHM 2023,trace extended at constant dip,233,unmodified,
87,Russ,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,71,N,135,Reverse and Dextral,1,0.707199,undifferentiated Quaternary,<1.6 million,20,0,US NSHM 2023,trace extended at constant dip,236,unmodified,
88,Saddle Hill (Langley Hill),ForearcIntraarc_WA,WA,,60,N,90,Reverse,1,0.085216,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2838,unmodified,
89,Saddle Mountains,Backarc_WA,WA,,37,S,90,Reverse,1,0.291511,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2807,unmodified,
90,Sandy Point,ForearcIntraarc_WA,WA,,60,NE,90,Reverse,1,0.106605,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2839,unmodified,
91,Santa Rosa Range (center),Backarc_OR,OR,,50,W,-90,Normal,1,0.121801,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2572,unmodified,
92,Santa Rosa Range (north),Backarc_OR,OR,,50,W,-90,Normal,1,0.112717,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2531,unmodified,
93,Santa Rosa Range (south),Backarc_OR,OR,,50,W,-90,Normal,1,0.041542,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2573,unmodified,
94,Seattle (east),ForearcIntraarc_WA,WA,,45,S,90,Reverse,1,0.244132,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2842,unmodified,
95,Seattle (middle),ForearcIntraarc_WA,WA,,45,S,90,Reverse,1,0.264932,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2881,unmodified,
96,Seattle (north),ForearcIntraarc_WA,WA,,45,S,90,Reverse,1,0.643602,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2882,unmodified,
97,Seattle (south),ForearcIntraarc_WA,WA,,45,S,90,Reverse,1,0.246312,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2880,unmodified,
98,Skinner Flat,ForearcIntraarc_CA,CA,,90,vertical,-135,Normal and Dextral,1,0.067962,late Quaternary,"<130,000",10,0,US NSHM 2023,trace extended at constant dip,282,unmodified,
99,Sky Lakes,ForearcIntraarc_OR,OR,,50,E,-90,Normal,1,0.184374,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2532,unmodified,
100,South Slough,ForearcIntraarc_OR,OR,,60,W,90,Reverse,1,0.356762,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2534,unmodified,
101,Southeast Newberry,Backarc_OR,OR,,50,SW,-90,Normal,1,0.536412,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2533,unmodified,
102,Southern Whidbey Island (middle),ForearcIntraarc_WA,WA,,60,NE,90,Reverse,1,0.149653,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2891,unmodified,
103,Southern Whidbey Island (north),ForearcIntraarc_WA,WA,,60,NE,90,Reverse,1,0.151981,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2892,unmodified,
104,Southern Whidbey Island (south),ForearcIntraarc_WA,WA,,60,NE,90,Reverse,1,0.16162,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2890,unmodified,
105,Southwest Newberry,ForearcIntraarc_OR,OR,,50,NW,-90,Normal,1,0.091474,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2576,unmodified,
106,Spencer Canyon,Backarc_WA,WA,,60,NW,90,Reverse,1,0.084432,null,null,15,0,US NSHM 2023,trace extended at constant dip,2843,unmodified,
107,Steens (center),Backarc_OR,OR,NV,50,E,-90,Normal,1,0.344548,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2535,unmodified,
108,Steens (north),Backarc_OR,OR,NV,50,E,-90,Normal,1,0.112876,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2574,unmodified,
109,Steens (south),Backarc_OR,OR,NV,50,E,-90,Normal,1,0.268267,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2575,unmodified,
110,Stonewall Anticline,AccretionaryWedge_OR,OR,,60,E,90,Reverse,1,1.220285,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2808,unmodified,
111,Strawberry Point,ForearcIntraarc_WA,WA,,90,vertical,0,Sinistral,1,0.238099,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2809,unmodified,
112,Sumpter Valley,Backarc_OR,OR,,50,S,-90,Normal,1,0.121764,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2577,unmodified,
113,Surprise Valley,Backarc_CA,CA,,50,E,-90,Normal,1,0.694592,latest Quaternary,"<15,000",8.5,0,US NSHM 2023,trace extended at constant dip,284,unmodified,
114,Surpur Creek,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.084752,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,347,unmodified,
115,"Susanville - Eagle Lake (unnamed, proxy)",Backarc_CA,CA,,90,vertical,180,Dextral,1,0.742108,undifferentiated Quaternary,<1.6 million,25,0,US NSHM 2023,trace extended at constant dip,351,unmodified,
116,Sylvain - Oatfield,ForearcIntraarc_OR,OR,,60,E,90,Reverse,1,0.265212,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2578,unmodified,
117,Table Bluff,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,45,N,90,Reverse,1,0.76463,late Quaternary,"<130,000",13,0,US NSHM 2023,trace extended at constant dip,286,unmodified,
118,Tacoma,ForearcIntraarc_WA,WA,,60,N,90,Reverse,1,0.245784,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2810,unmodified,
119,Toppenish Ridge (Mill Creek thrust),Backarc_WA,WA,,60,S,90,Reverse,1,0.050233,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2844,unmodified,
120,Trinidad,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,1.141164,latest Quaternary,"<15,000",13,0,US NSHM 2023,trace extended at constant dip,291,unmodified,
121,Tule Springs Rims,Backarc_OR,OR,,50,W,-90,Normal,1,0.10766,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2536,unmodified,
122,Turner - Mill Creek,ForearcIntraarc_OR,OR,,60,SE,90,Reverse,1,0.287435,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2537,unmodified,
123,Twin Lakes - Multorpor Mountain Graben,ForearcIntraarc_OR,OR,,50,W,-90,Normal,1,0.113317,null,null,15,0,US NSHM 2023,trace extended at constant dip,2579,unmodified,
124,Uhtanum Ridge - Gable Mountain,Backarc_WA,WA,,20,S,90,Reverse,1,0.224856,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2845,unmodified,
125,Utsalady Point (east),ForearcIntraarc_WA,WA,,90,vertical,0,Sinistral,1,0.117046,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2811,unmodified,
126,Utsalady Point (west),ForearcIntraarc_WA,WA,,60,NE,90,Reverse,1,0.154726,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2847,unmodified,
127,Waldport,ForearcIntraarc_OR,OR,,60,E,90,Reverse,1,0.15722,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2538,unmodified,
128,Walker Spring,ForearcIntraarc_CA,CA,,90,vertical,-90,Normal,1,0.046295,late Quaternary,"<130,000",10,0,US NSHM 2023,trace extended at constant dip,294,unmodified,
129,Wallula (northeast),Backarc_WA,WA,OR,60,SW,90,Reverse,1,0.062911,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2806,unmodified,
130,Wallula (southwest),Backarc_WA,OR,WA,60,SW,90,Reverse,1,0.054119,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2581,unmodified,
131,Warm Springs,ForearcIntraarc_OR,OR,,50,E,-90,Normal,1,0.311066,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2582,unmodified,
132,Warm Springs Valley,Backarc_CA,NV,CA,90,vertical,180,Dextral,1,1.93516,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,1119,unmodified,
133,"Warner Valley (east, center)",Backarc_OR,OR,,50,W,-90,Normal,1,0.128364,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2584,unmodified,
134,"Warner Valley (east, Coleman Valley)",Backarc_OR,NV,OR,50,W,-90,Normal,1,0.135522,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,1274,unmodified,
135,"Warner Valley (east, north)",Backarc_OR,OR,,50,W,-90,Normal,1,0.115276,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2583,unmodified,
136,"Warner Valley (west, Coleman Valley)",Backarc_OR,OR,NV,50,E,-90,Normal,1,0.134892,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,1275,unmodified,
137,"Warner Valley (west, north)",Backarc_OR,OR,,50,E,-90,Normal,1,0.171086,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2541,unmodified,
138,Warwick,ForearcIntraarc_WA,WA,,90,vertical,180,Dextral,1,0.090928,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2848,unmodified,
139,Wecoma,AccretionaryWedge_OR,OR,,90,vertical,0,Sinistral,1,6.581124,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2542,unmodified,
140,West Baker Valley (center),Backarc_OR,OR,,50,NE,-90,Normal,1,0.119046,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2586,unmodified,
141,West Baker Valley (southeast),Backarc_OR,OR,,50,NE,-90,Normal,1,0.110404,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2587,unmodified,
142,West Grand Ronde Valley,Backarc_OR,OR,,50,E,-90,Normal,1,0.36622,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2588,unmodified,
143,Whaleshead,ForearcIntraarc_OR,OR,,90,vertical,180,Dextral,1,1.086416,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2543,unmodified,
